Technology,Forecast_Months,Current_Efficiency_%,Predicted_Efficiency_%,Efficiency_Improvement_%,Efficiency_Confidence_Lower,Efficiency_Confidence_Upper,Current_Cost_INR_per_W,Predicted_Cost_INR_per_W,Cost_Savings_%,Cost_Confidence_Lower,Cost_Confidence_Upper,Efficiency_Model_R2,Cost_Model_R2,Overall_Reliability,Investment_Recommendation,Wait_Benefit,Adjusted_Score,Current_Market_Share_%,Predicted_Market_Share_%,Market_Trend
Monocrystalline,6,22.0,22.11,0.49,19.8,28.6,19.92,21.75,-9.18,3.98,19.92,-102.578,-0.391,LOW,INSTALL_NOW,NONE,284.83,72,70.7,DECLINING
Monocrystalline,12,22.0,22.11,0.49,19.8,28.6,19.92,21.75,-9.18,3.98,19.92,-102.578,-0.391,LOW,INSTALL_NOW,NONE,284.7,72,70.7,DECLINING
Monocrystalline,18,22.0,22.11,0.49,19.8,28.6,19.92,21.75,-9.18,3.98,19.92,-102.578,-0.391,LOW,INSTALL_NOW,NONE,284.6,72,70.7,DECLINING
Monocrystalline,24,22.0,22.11,0.49,19.8,28.6,19.92,21.75,-9.18,3.98,19.92,-102.578,-0.391,LOW,INSTALL_NOW,NONE,284.52,72,70.7,DECLINING
Monocrystalline,36,22.0,22.11,0.49,19.8,28.6,19.92,21.75,-9.18,3.98,19.92,-102.578,-0.391,LOW,INSTALL_NOW,NONE,284.4,72,70.7,DECLINING
Bifacial,6,22.8,22.58,-0.97,20.52,29.64,25.73,25.44,1.11,5.15,25.73,-102.578,-0.391,LOW,INSTALL_NOW,NONE,-38.09,48,49.3,GROWING
Bifacial,12,22.8,22.58,-0.97,20.52,29.64,25.73,25.44,1.11,5.15,25.73,-102.578,-0.391,LOW,INSTALL_NOW,NONE,-38.31,48,49.3,GROWING
Bifacial,18,22.8,22.58,-0.97,20.52,29.64,25.73,25.44,1.11,5.15,25.73,-102.578,-0.391,LOW,INSTALL_NOW,NONE,-38.48,48,49.3,GROWING
Bifacial,24,22.8,22.58,-0.97,20.52,29.64,25.73,25.44,1.11,5.15,25.73,-102.578,-0.391,LOW,INSTALL_NOW,NONE,-38.62,48,49.3,GROWING
Bifacial,36,22.8,22.58,-0.97,20.52,29.64,25.73,25.44,1.11,5.15,25.73,-102.578,-0.391,LOW,INSTALL_NOW,NONE,-38.84,48,49.3,GROWING
Polycrystalline,6,17.4,17.67,1.53,15.66,22.62,15.77,16.24,-2.98,3.15,15.77,-102.578,-0.391,LOW,INSTALL_NOW,NONE,36.21,3,3.0,STABLE
Polycrystalline,12,17.4,17.67,1.53,15.66,22.62,15.77,16.24,-2.98,3.15,15.77,-102.578,-0.391,LOW,INSTALL_NOW,NONE,36.15,3,3.0,STABLE
Polycrystalline,18,17.4,17.67,1.53,15.66,22.62,15.77,16.24,-2.98,3.15,15.77,-102.578,-0.391,LOW,INSTALL_NOW,NONE,36.1,3,3.0,STABLE
Polycrystalline,24,17.4,17.67,1.53,15.66,22.62,15.77,16.24,-2.98,3.15,15.77,-102.578,-0.391,LOW,INSTALL_NOW,NONE,36.06,3,3.0,STABLE
Polycrystalline,36,17.4,17.67,1.53,15.66,22.62,15.77,16.24,-2.98,3.15,15.77,-102.578,-0.391,LOW,INSTALL_NOW,NONE,36.0,3,3.0,STABLE
Thin Film,6,12.9,12.91,0.11,11.61,16.77,14.11,15.07,-6.77,2.82,14.11,-102.578,-0.391,LOW,INSTALL_NOW,NONE,224.85,2,2.0,STABLE
Thin Film,12,12.9,12.91,0.11,11.61,16.77,14.11,15.07,-6.77,2.82,14.11,-102.578,-0.391,LOW,INSTALL_NOW,NONE,224.71,2,2.0,STABLE
Thin Film,18,12.9,12.91,0.11,11.61,16.77,14.11,15.07,-6.77,2.82,14.11,-102.578,-0.391,LOW,INSTALL_NOW,NONE,224.61,2,2.0,STABLE
Thin Film,24,12.9,12.91,0.11,11.61,16.77,14.11,15.07,-6.77,2.82,14.11,-102.578,-0.391,LOW,INSTALL_NOW,NONE,224.53,2,2.0,STABLE
Thin Film,36,12.9,12.91,0.11,11.61,16.77,14.11,15.07,-6.77,2.82,14.11,-102.578,-0.391,LOW,INSTALL_NOW,NONE,224.39,2,2.0,STABLE
