date,irradiance_kwh_m2,temperature_c,humidity_pct,wind_speed_ms,precipitation_mm
2022-08-01,5.6124,23.93,84.35,2.77,26.64
2022-08-02,4.5526,23.89,83.76,2.34,14.82
2022-08-03,3.2885,22.77,83.4,2.71,27.73
2022-08-04,2.3064,22.06,85.69,1.78,11.6
2022-08-05,3.012,22.62,84.42,7.65,5.41
2022-08-06,3.3806,22.5,84.33,7.87,4.52
2022-08-07,3.1507,22.28,86.36,7.41,2.11
2022-08-08,3.4805,22.39,85.48,8.11,1.59
2022-08-09,3.852,22.49,81.48,8.81,0.56
2022-08-10,4.9406,22.1,81.41,8.01,0.11
2022-08-11,4.6963,22.64,82.13,6.88,0.4
2022-08-12,4.6507,22.86,81.25,6.2,0.09
2022-08-13,5.5267,22.2,82.48,5.01,0.01
2022-08-14,4.6058,22.82,78.98,5.46,0.0
2022-08-15,5.1346,23.63,78.49,4.2,0.01
2022-08-16,6.3144,24.23,76.83,2.38,0.02
2022-08-17,5.9726,24.05,79.47,3.32,0.26
2022-08-18,5.0671,22.91,86.48,4.46,238.99
2022-08-19,4.7652,23.02,84.18,5.1,23.68
2022-08-20,4.8173,22.87,83.98,4.9,0.02
2022-08-21,4.5955,22.87,85.15,5.05,5.33
2022-08-22,4.3805,22.83,85.48,5.55,2.93
2022-08-23,5.5862,23.28,83.66,4.95,1.03
2022-08-24,4.343,22.86,84.98,4.57,5.15
2022-08-25,3.9221,22.28,86.29,4.12,18.22
2022-08-26,4.3651,22.0,90.52,3.42,44.42
2022-08-27,4.2254,22.02,89.28,4.0,12.91
2022-08-28,5.4823,22.53,86.92,3.68,13.11
2022-08-29,3.9293,22.84,89.66,2.69,29.57
2022-08-30,5.5318,23.67,86.74,2.77,1.59
2022-08-31,4.9387,22.53,90.56,2.65,4.88
2022-09-01,3.2592,23.1,83.85,1.56,3.5
2022-09-02,5.0748,23.3,85.24,2.39,5.13
2022-09-03,5.6035,24.24,82.53,1.29,8.36
2022-09-04,5.4401,23.57,89.64,1.84,45.37
2022-09-05,5.8433,24.12,83.96,1.22,19.12
2022-09-06,4.8178,23.13,86.43,1.96,26.9
2022-09-07,4.374,22.26,88.64,2.15,9.56
2022-09-08,2.8634,22.06,89.52,3.94,8.73
2022-09-09,4.4225,22.3,90.33,4.33,0.41
2022-09-10,3.8506,22.27,88.73,5.45,0.67
2022-09-11,3.9451,21.95,88.36,6.13,0.06
2022-09-12,5.0959,22.07,86.68,6.84,0.0
2022-09-13,4.5883,22.48,87.81,4.84,2.2
2022-09-14,4.963,22.21,88.65,3.76,4.68
2022-09-15,5.0366,21.9,88.61,3.83,0.92
2022-09-16,5.2495,22.62,87.24,3.93,0.03
2022-09-17,6.0192,22.37,87.76,3.48,0.0
2022-09-18,5.6083,22.75,86.23,3.71,0.13
2022-09-19,5.1706,22.52,86.55,4.41,0.01
2022-09-20,5.4958,21.41,82.76,4.18,0.0
2022-09-21,5.5558,22.02,84.6,3.92,0.01
2022-09-22,6.3554,22.14,81.47,4.23,0.0
2022-09-23,6.0329,21.42,84.75,3.71,0.0
2022-09-24,5.622,22.26,84.27,3.87,2.48
2022-09-25,6.0154,22.68,82.71,3.46,0.46
2022-09-26,4.5874,23.04,86.46,3.4,2.84
2022-09-27,4.523,22.21,87.8,3.12,2.39
2022-09-28,4.2722,22.47,85.5,3.38,2.87
2022-09-29,4.5475,21.87,87.46,3.3,1.78
2022-09-30,4.0219,21.27,89.82,4.24,9.58
2022-10-01,3.3346,21.54,87.97,4.85,4.84
2022-10-02,3.9888,21.43,86.06,4.64,0.21
2022-10-03,3.6454,22.07,86.38,4.7,0.01
2022-10-04,4.7705,22.02,88.88,3.86,0.01
2022-10-05,4.0678,21.64,91.06,3.4,14.08
2022-10-06,3.5292,21.97,87.63,3.29,0.55
2022-10-07,5.9002,22.16,85.87,2.6,0.54
2022-10-08,5.105,21.47,87.17,2.62,2.28
2022-10-09,3.1147,22.0,89.22,2.79,6.41
2022-10-10,3.2402,23.23,88.5,3.0,21.57
2022-10-11,3.4406,22.98,89.62,3.13,7.53
2022-10-12,3.7709,22.99,88.71,2.22,4.13
2022-10-13,4.6682,22.91,88.68,1.74,19.08
2022-10-14,4.7856,23.62,84.27,1.81,10.06
2022-10-15,4.0493,22.98,88.47,1.99,14.02
2022-10-16,4.0459,23.36,88.52,2.9,21.75
2022-10-17,4.7184,23.43,89.33,2.94,2.89
2022-10-18,4.8494,23.19,87.66,2.15,5.91
2022-10-19,5.0278,23.06,85.27,1.59,17.21
2022-10-20,5.1739,22.95,86.27,2.46,21.66
2022-10-21,4.5305,22.45,87.28,2.84,1.06
