date,irradiance_kwh_m2,temperature_c,humidity_pct,wind_speed_ms,precipitation_mm
2022-08-01,5.0054,29.86,76.28,2.74,2.34
2022-08-02,6.0022,31.43,69.04,1.89,0.56
2022-08-03,4.4635,31.91,65.37,1.12,1.24
2022-08-04,3.5707,30.62,72.74,2.64,7.83
2022-08-05,3.2042,30.23,73.22,2.76,5.93
2022-08-06,3.8191,31.27,69.44,1.44,0.6
2022-08-07,1.5684,28.84,80.31,2.57,3.81
2022-08-08,5.9688,31.04,70.55,2.34,3.12
2022-08-09,5.9815,31.63,65.84,2.54,0.06
2022-08-10,6.3965,32.87,58.98,4.05,0.0
2022-08-11,2.5157,30.11,67.52,6.07,0.44
2022-08-12,6.1862,31.38,61.73,5.03,0.03
2022-08-13,5.22,31.8,62.51,4.21,0.0
2022-08-14,3.1094,31.25,67.19,2.55,2.59
2022-08-15,4.5828,29.16,72.1,4.49,9.71
2022-08-16,3.5376,29.98,67.42,8.4,0.95
2022-08-17,5.7283,30.54,65.89,5.05,0.08
2022-08-18,6.0722,31.77,63.11,2.99,0.0
2022-08-19,5.7686,31.6,64.2,3.7,1.72
2022-08-20,3.8834,30.25,68.16,1.2,3.61
2022-08-21,5.1564,31.2,60.06,2.15,0.72
2022-08-22,4.8974,32.14,61.29,3.53,0.78
2022-08-23,5.2961,31.06,62.5,7.37,0.4
2022-08-24,4.1669,30.26,65.17,4.19,2.03
2022-08-25,5.2058,31.33,60.99,1.79,0.17
2022-08-26,5.2615,31.39,60.74,3.49,0.0
2022-08-27,5.7163,31.51,59.53,4.72,0.0
2022-08-28,5.3561,31.76,56.93,3.51,0.09
2022-08-29,4.7786,31.79,57.25,1.15,2.6
2022-08-30,4.7479,31.12,65.19,1.52,7.39
2022-08-31,5.4403,32.82,57.54,2.68,0.01
2022-09-01,5.4024,33.06,57.59,2.16,0.52
2022-09-02,4.5658,32.32,57.34,1.2,3.61
2022-09-03,6.5309,32.29,54.97,3.67,0.01
2022-09-04,6.5964,33.12,50.68,3.48,0.0
2022-09-05,6.2455,32.43,54.32,2.41,0.02
2022-09-06,5.5385,32.52,51.71,1.98,0.0
2022-09-07,5.7386,32.84,49.65,2.38,0.0
2022-09-08,5.4528,32.13,50.67,1.73,0.02
2022-09-09,5.0174,32.52,52.12,1.41,0.21
2022-09-10,4.5139,31.58,65.32,2.1,5.38
2022-09-11,5.478,31.67,63.53,2.11,2.66
2022-09-12,5.7022,31.25,60.07,3.1,1.19
2022-09-13,5.34,31.07,60.18,4.72,0.56
2022-09-14,3.2455,29.87,64.6,5.51,2.81
2022-09-15,2.6359,27.75,80.04,4.87,11.97
2022-09-16,2.0407,26.96,82.39,3.39,14.08
2022-09-17,5.1041,29.02,69.68,2.74,3.74
2022-09-18,5.359,29.32,65.33,2.43,3.25
2022-09-19,3.5083,29.2,66.75,2.1,12.29
2022-09-20,3.8023,29.6,74.24,1.41,18.12
2022-09-21,2.4118,28.74,78.67,2.16,22.78
2022-09-22,1.6697,27.68,87.84,3.38,71.85
2022-09-23,1.6687,26.94,89.98,3.78,30.58
2022-09-24,1.2178,26.32,90.98,4.14,40.63
2022-09-25,3.5302,27.25,82.97,2.71,10.25
2022-09-26,5.0976,26.52,83.96,2.65,0.41
2022-09-27,5.6582,26.55,80.53,2.56,0.0
2022-09-28,5.4758,27.18,77.51,1.89,0.02
2022-09-29,5.491,26.93,78.98,2.07,0.0
2022-09-30,5.2754,26.49,82.0,2.24,0.0
2022-10-01,5.2694,26.85,74.76,2.05,0.0
2022-10-02,5.4996,26.28,73.05,2.55,0.0
2022-10-03,5.6266,25.04,75.61,3.84,0.0
2022-10-04,4.9718,26.22,72.23,2.04,0.0
2022-10-05,3.9113,27.65,76.26,1.63,0.06
2022-10-06,3.6454,25.75,86.38,1.98,2.66
2022-10-07,1.7846,24.71,91.74,2.31,6.17
2022-10-08,1.1674,24.6,93.26,3.61,21.9
2022-10-09,1.5662,24.15,94.75,5.76,66.86
2022-10-10,1.6154,24.5,90.14,3.31,23.96
2022-10-11,3.5866,24.94,81.36,1.2,7.26
2022-10-12,4.783,24.09,79.6,1.77,3.63
2022-10-13,5.215,22.83,80.26,2.64,0.0
2022-10-14,5.0825,22.22,78.83,2.85,0.0
2022-10-15,5.0282,23.33,71.25,1.77,0.0
2022-10-16,4.8324,24.21,63.27,1.03,0.0
2022-10-17,4.9567,23.28,66.79,1.6,0.0
2022-10-18,4.9531,23.44,60.22,1.51,0.0
2022-10-19,5.0868,22.77,68.26,1.87,0.0
2022-10-20,4.9142,22.7,71.88,1.81,0.0
2022-10-21,4.9282,23.26,64.43,2.25,0.0
2022-10-22,4.6459,22.24,65.23,2.12,0.0
2022-10-23,4.5475,21.91,61.67,1.39,0.0
2022-10-24,4.8202,21.03,68.06,2.68,0.0
2022-10-25,4.89,20.74,66.29,3.15,0.0
2022-10-26,4.7227,22.09,60.89,1.84,0.0
2022-10-27,4.5278,22.4,62.56,1.65,0.0
2022-10-28,4.2216,21.98,66.16,1.71,0.0
2022-10-29,3.7044,22.41,60.24,1.46,0.0
2022-10-30,3.937,21.59,56.42,1.4,0.0
2022-10-31,4.0068,21.64,61.93,1.46,0.0
2022-11-01,3.9084,21.38,71.77,1.91,0.0
2022-11-02,4.0596,21.47,77.83,2.24,0.0
2022-11-03,3.5784,21.2,74.07,2.94,0.0
2022-11-04,3.45,21.73,76.75,2.07,0.0
2022-11-05,3.551,20.5,88.03,3.07,0.0
2022-11-06,3.7046,21.3,86.38,2.24,0.0
2022-11-07,3.972,22.41,84.69,1.58,0.0
2022-11-08,2.7938,20.92,83.85,2.14,0.0
2022-11-09,3.2892,21.43,76.08,1.46,0.0
2022-11-10,3.1066,21.16,72.78,1.83,0.0
2022-11-11,3.6089,18.5,73.22,3.76,0.0
2022-11-12,4.2079,17.99,67.72,4.04,0.0
