date,irradiance_kwh_m2,temperature_c,humidity_pct,wind_speed_ms,precipitation_mm
2022-08-02,3.7474,25.43,90.34,3.25,19.77
2022-08-03,5.2054,25.99,85.52,2.29,3.81
2022-08-04,4.1851,26.51,83.8,1.55,4.02
2022-08-05,4.0116,25.89,84.78,3.38,5.81
2022-08-06,4.5014,25.19,86.21,3.79,9.0
2022-08-07,3.1627,24.44,88.46,5.7,7.47
2022-08-08,2.2351,24.32,85.43,8.58,11.86
2022-08-09,3.1346,24.12,86.66,9.25,4.39
2022-08-10,4.2106,24.5,82.42,8.83,1.58
2022-08-11,4.4789,24.99,83.65,6.44,0.27
2022-08-12,4.7861,25.48,82.27,6.32,0.01
2022-08-13,4.1971,25.17,83.5,6.28,2.26
2022-08-14,1.7424,24.03,87.63,6.63,3.91
2022-08-15,2.172,24.62,84.97,6.43,2.26
2022-08-16,5.971,25.32,83.22,4.61,0.28
2022-08-17,6.4157,25.98,81.47,4.01,0.33
2022-08-18,5.8548,25.08,86.11,3.6,2.99
2022-08-19,4.8336,25.01,87.54,4.97,8.84
2022-08-20,4.8626,25.65,84.97,5.63,1.72
2022-08-21,5.4338,25.64,83.13,5.96,0.08
2022-08-22,4.7467,25.93,82.43,5.54,0.0
2022-08-23,5.4358,26.06,81.83,3.71,0.06
2022-08-24,5.713,25.67,83.27,3.03,0.36
2022-08-25,5.4583,25.27,84.64,2.8,1.76
2022-08-26,5.4463,25.94,81.65,2.15,1.15
2022-08-27,4.8509,25.06,86.95,2.8,4.74
2022-08-28,5.3779,24.07,88.41,2.82,3.57
2022-08-29,3.7526,25.46,83.59,1.96,1.91
2022-08-30,5.3455,24.75,89.19,2.17,7.14
2022-08-31,6.2563,25.14,87.5,2.34,1.03
2022-09-01,5.6911,25.27,86.73,2.4,1.73
2022-09-02,5.725,25.07,87.3,2.48,0.44
2022-09-03,6.3314,26.24,83.9,1.31,0.34
2022-09-04,4.0464,25.66,86.67,2.12,0.79
2022-09-05,5.3448,25.76,80.86,2.13,0.07
2022-09-06,5.0426,26.15,81.99,1.52,3.89
2022-09-07,4.9562,25.43,87.6,1.14,14.53
2022-09-08,4.205,25.53,86.92,1.33,16.96
2022-09-09,3.0562,25.67,87.97,1.95,14.63
2022-09-10,2.1336,25.02,92.05,3.71,30.05
2022-09-11,1.447,24.34,91.05,5.04,20.77
2022-09-12,3.5402,24.92,87.08,6.31,5.64
2022-09-13,3.6463,25.04,85.48,5.68,0.5
2022-09-14,3.8474,25.35,84.19,4.69,0.0
2022-09-15,4.3301,24.78,86.9,4.87,0.0
2022-09-16,4.523,25.4,84.98,5.77,0.05
2022-09-17,4.9267,25.52,84.44,4.16,0.55
2022-09-18,5.8075,25.16,83.51,4.55,0.09
2022-09-19,4.3615,23.88,88.74,3.83,3.57
2022-09-20,2.6875,24.11,86.06,4.87,1.21
2022-09-21,4.259,24.12,86.9,4.32,1.22
2022-09-22,2.6897,24.22,87.32,4.17,5.87
2022-09-23,5.5159,23.79,82.56,3.73,0.43
2022-09-24,5.7862,24.39,81.71,3.5,0.04
2022-09-25,5.6964,24.95,81.38,2.15,0.01
2022-09-26,4.8893,25.28,83.31,1.49,13.64
2022-09-27,4.4362,25.27,87.13,2.37,6.57
2022-09-28,4.4873,25.0,88.47,2.41,5.17
2022-09-29,3.3269,24.55,88.54,2.1,5.85
2022-09-30,4.056,24.02,89.79,3.58,7.49
2022-10-01,4.9601,24.72,86.22,3.65,3.64
2022-10-02,5.8663,24.93,85.34,4.93,0.35
2022-10-03,5.4996,24.96,85.24,5.01,0.0
2022-10-04,3.7078,24.34,88.84,3.87,0.0
2022-10-05,3.8698,24.26,92.29,2.49,7.89
2022-10-06,3.0101,24.06,91.1,3.72,6.77
2022-10-07,3.4594,24.18,91.06,4.83,4.56
2022-10-08,5.0952,24.66,88.05,1.96,8.51
2022-10-09,4.655,24.57,87.6,2.46,5.13
2022-10-10,3.7169,24.42,91.91,3.8,4.24
2022-10-11,4.7734,24.69,89.22,3.97,4.32
2022-10-12,4.6289,24.62,87.82,2.27,15.02
2022-10-13,4.5742,24.5,87.91,1.92,7.53
2022-10-14,3.9223,24.15,90.81,2.32,12.02
2022-10-15,2.6604,23.48,93.9,3.3,17.22
2022-10-16,4.0877,24.68,89.57,3.64,4.84
2022-10-17,5.6916,24.66,88.33,2.6,0.53
2022-10-18,5.1024,24.93,85.17,1.51,0.7
2022-10-19,4.8787,24.78,85.36,1.44,1.76
2022-10-20,4.7129,24.11,86.51,2.78,0.71
2022-10-21,4.0421,23.43,86.21,2.61,0.03
2022-10-22,6.0538,20.6,79.2,3.56,0.0
2022-10-23,6.1318,19.72,81.39,4.07,0.0
2022-10-24,5.9153,19.87,80.03,3.83,0.0
2022-10-25,6.0545,20.32,74.84,2.79,0.0
2022-10-26,6.0264,20.56,71.57,2.31,0.0
2022-10-27,5.815,21.0,73.21,2.12,0.0
2022-10-28,5.9246,20.51,77.39,2.8,0.0
2022-10-29,6.0221,19.37,75.67,3.32,0.0
2022-10-30,5.9446,18.86,78.53,3.41,0.0
2022-10-31,5.7374,19.24,78.51,3.05,0.0
2022-11-01,2.5999,20.86,82.13,2.34,0.38
2022-11-02,3.0948,21.96,87.92,3.01,0.14
2022-11-03,4.8888,22.63,85.34,2.57,0.0
2022-11-04,4.4599,22.6,85.2,2.29,0.02
2022-11-05,5.0671,22.57,83.95,2.21,0.01
