date,irradiance_kwh_m2,temperature_c,humidity_pct,wind_speed_ms,precipitation_mm
2022-08-02,3.6658,29.54,84.44,2.24,3.28
2022-08-03,2.5459,28.56,88.17,2.28,17.91
2022-08-04,4.793,28.98,83.41,2.34,3.63
2022-08-05,4.2264,29.13,86.54,2.83,2.81
2022-08-06,4.0462,28.78,86.3,2.34,8.37
2022-08-07,5.2426,29.17,85.96,3.62,6.26
2022-08-08,3.7116,28.39,87.02,5.22,13.99
2022-08-09,4.0382,28.06,89.06,6.26,14.62
2022-08-10,2.8322,27.8,91.67,5.46,29.03
2022-08-11,3.3941,27.65,88.94,2.66,32.36
2022-08-12,5.0705,28.68,83.71,1.81,5.16
2022-08-13,5.1086,28.98,85.15,3.25,6.26
2022-08-14,1.7976,27.74,91.01,7.36,30.42
2022-08-15,3.3936,27.82,88.9,6.47,8.43
2022-08-16,5.7562,28.85,84.24,3.0,1.62
2022-08-17,5.845,28.96,86.0,2.69,0.27
2022-08-18,4.7957,28.56,89.28,3.28,11.45
2022-08-19,2.2186,28.25,89.31,5.77,48.32
2022-08-20,2.9731,27.59,89.84,7.77,12.59
2022-08-21,4.505,28.45,86.8,3.93,2.93
2022-08-22,5.4518,28.93,84.84,2.04,1.19
2022-08-23,3.27,28.24,87.61,1.69,21.75
2022-08-24,3.2462,28.05,87.96,3.8,25.44
2022-08-25,4.9757,28.33,86.47,3.81,4.37
2022-08-26,5.2421,28.13,86.05,3.17,0.09
2022-08-27,4.0702,27.96,90.28,4.41,5.85
2022-08-28,4.1282,27.98,89.39,4.55,3.27
2022-08-29,5.567,28.41,86.32,3.08,2.27
2022-08-30,6.3557,28.66,85.1,2.14,0.35
2022-08-31,5.7816,28.54,87.65,2.99,4.69
2022-09-01,5.3256,28.04,89.85,3.15,1.99
2022-09-02,5.9834,28.23,88.5,3.02,4.2
2022-09-03,4.8962,28.73,87.82,3.65,5.33
2022-09-04,4.3826,28.62,89.79,3.02,4.24
2022-09-05,4.223,28.56,88.35,2.39,4.58
2022-09-06,3.8359,28.65,87.21,1.49,13.39
2022-09-07,5.4528,28.19,89.25,2.19,3.06
2022-09-08,6.0362,28.74,87.21,2.69,1.72
2022-09-09,4.4842,27.92,90.23,2.88,3.59
2022-09-10,4.2197,27.39,93.05,3.76,8.04
2022-09-11,2.6422,27.21,94.78,4.79,36.49
2022-09-12,0.9655,27.61,94.52,4.91,59.6
2022-09-13,1.3934,27.66,93.67,5.33,17.37
2022-09-14,2.5042,27.2,94.17,4.54,8.66
2022-09-15,2.8282,27.66,90.81,2.48,9.98
2022-09-16,4.0306,27.81,90.7,2.79,5.68
2022-09-17,2.6419,27.64,91.07,2.88,8.72
2022-09-18,4.9322,27.98,88.9,1.6,1.98
2022-09-19,4.2396,27.94,90.09,3.26,5.38
2022-09-20,3.7442,27.69,91.49,5.12,7.13
2022-09-21,4.2912,27.87,89.16,4.12,5.6
2022-09-22,4.8274,28.0,88.1,3.46,2.22
2022-09-23,4.8096,27.89,88.76,3.56,3.81
2022-09-24,5.0978,27.8,88.0,2.92,2.28
2022-09-25,4.8281,27.48,88.63,2.12,0.25
2022-09-26,4.9306,27.96,84.49,1.7,0.27
2022-09-27,4.9546,27.83,84.25,1.18,8.29
2022-09-28,4.284,28.21,85.33,1.35,7.24
2022-09-29,5.3155,28.42,85.06,1.3,3.95
2022-09-30,4.8468,28.29,83.39,1.85,0.11
2022-10-01,4.4424,28.3,85.26,1.52,8.49
2022-10-02,2.5553,26.67,94.12,2.11,14.27
2022-10-03,2.7749,27.26,90.9,2.78,19.89
2022-10-04,4.3682,27.43,92.85,3.83,14.23
2022-10-05,4.0368,27.51,90.69,3.2,15.85
2022-10-06,4.2269,27.1,89.38,2.91,6.68
2022-10-07,4.8686,27.04,88.45,1.77,1.23
2022-10-08,5.6352,27.55,84.97,1.58,0.57
2022-10-09,5.1838,26.82,91.04,2.28,2.87
2022-10-10,5.2058,26.55,91.15,2.25,1.52
2022-10-11,4.5655,26.8,91.57,3.02,6.4
2022-10-12,4.3913,27.05,90.07,2.26,14.82
2022-10-13,4.9234,26.71,88.62,1.73,12.25
2022-10-14,4.2912,27.53,82.61,0.91,2.3
2022-10-15,5.459,27.18,86.38,1.98,0.59
2022-10-16,5.443,26.11,84.36,2.56,0.03
2022-10-17,5.5723,26.2,83.47,2.33,0.43
2022-10-18,4.9092,26.65,82.68,2.2,0.15
2022-10-19,3.6406,25.82,85.7,2.53,1.49
2022-10-20,5.0669,25.05,85.67,3.5,0.24
2022-10-21,5.2613,24.55,84.84,3.4,0.0
2022-10-22,5.4382,25.41,84.11,3.62,0.0
2022-10-23,3.0372,24.72,89.58,3.32,3.34
2022-10-24,0.8441,23.47,93.62,6.84,9.17
2022-10-25,4.9891,25.14,83.89,2.68,1.35
2022-10-26,5.0448,25.95,77.41,1.71,0.21
2022-10-27,4.4076,25.44,75.79,1.77,0.0
2022-10-28,4.2852,23.75,79.18,2.44,0.0
2022-10-29,4.879,23.02,76.85,2.39,0.0
2022-10-30,5.1389,23.54,82.22,2.34,0.01
2022-10-31,5.021,24.12,80.7,2.26,0.04
2022-11-01,5.125,24.45,83.45,2.45,0.0
2022-11-02,4.8382,24.37,81.19,2.82,0.0
2022-11-03,3.6163,23.15,77.01,2.48,0.0
2022-11-04,4.4131,23.39,72.83,1.79,0.0
2022-11-05,4.2821,24.34,73.02,1.44,0.0
2022-11-06,4.4345,23.98,74.28,1.53,0.0
2022-11-07,4.2396,23.39,76.41,1.8,0.02
