date,irradiance_kwh_m2,temperature_c,humidity_pct,wind_speed_ms,precipitation_mm
2022-07-06,2.2697,26.8,90.02,6.17,83.32
2022-07-07,1.3946,26.53,90.45,6.26,54.55
2022-07-08,1.9574,26.34,91.81,6.47,71.1
2022-07-09,2.3717,26.34,91.43,6.49,44.3
2022-07-10,2.8051,25.82,93.19,6.17,57.38
2022-07-11,1.5468,25.85,93.53,6.71,92.15
2022-07-12,2.5625,25.62,93.02,6.95,78.31
2022-07-13,1.2038,25.67,93.37,7.34,97.86
2022-07-14,1.908,25.48,94.02,7.19,102.07
2022-07-15,2.3851,25.9,91.81,7.26,44.43
2022-07-16,2.947,26.4,91.31,7.44,34.07
2022-07-17,5.4242,26.57,90.85,5.85,18.55
2022-07-18,2.9446,25.68,92.51,4.46,22.58
2022-07-19,4.3949,26.24,90.9,5.37,32.15
2022-07-20,5.5966,26.26,89.77,5.27,13.99
2022-07-21,4.3896,26.26,89.85,4.63,10.5
2022-07-22,4.9721,26.22,89.48,4.08,6.48
2022-07-23,3.4706,26.09,91.03,5.0,25.04
2022-07-24,3.2076,26.13,90.7,5.38,29.04
2022-07-25,4.871,26.1,89.2,4.79,17.28
2022-07-26,5.6962,26.25,88.74,3.73,6.35
2022-07-27,3.6876,26.21,89.38,2.46,15.21
2022-07-28,6.1286,26.63,88.77,2.12,13.36
2022-07-29,6.1877,26.65,89.76,2.55,1.53
2022-07-30,6.0377,26.76,88.82,2.57,1.2
2022-07-31,6.3629,26.8,88.01,3.04,2.31
2022-08-01,6.115,27.03,86.25,3.45,1.84
2022-08-02,4.8396,26.58,89.38,3.41,7.84
2022-08-03,4.9085,26.63,90.06,3.35,10.06
2022-08-04,3.1975,26.5,90.79,2.44,16.52
2022-08-05,3.0317,26.64,90.78,3.43,12.38
2022-08-06,4.9301,26.63,90.06,4.83,15.64
2022-08-07,4.6901,26.32,92.71,3.94,41.89
2022-08-08,3.0497,26.27,93.49,6.25,67.89
2022-08-09,1.776,25.74,93.27,8.53,63.72
2022-08-10,3.9754,26.01,92.37,8.83,31.77
2022-08-11,4.0164,25.82,91.06,9.7,42.45
2022-08-12,3.9653,26.11,90.03,8.83,19.49
2022-08-13,4.7472,26.06,89.71,6.92,18.71
2022-08-14,4.4434,25.89,89.21,6.61,16.76
2022-08-15,3.2688,25.24,92.04,5.81,38.81
2022-08-16,1.578,25.29,91.8,6.65,35.62
2022-08-17,4.0294,25.86,90.81,6.85,21.5
2022-08-18,4.6442,25.91,90.61,5.3,13.35
2022-08-19,4.9488,25.97,90.66,5.06,12.82
2022-08-20,4.153,25.95,90.22,5.0,12.06
2022-08-21,3.937,25.55,90.88,4.7,8.92
2022-08-22,3.5909,25.77,90.81,5.62,13.02
2022-08-23,3.5676,26.15,90.83,5.81,19.73
2022-08-24,4.5706,26.1,89.84,4.87,11.99
2022-08-25,4.7974,25.9,89.34,3.85,5.61
2022-08-26,6.0775,25.72,88.57,2.82,1.79
2022-08-27,6.0094,25.88,86.9,2.5,0.23
2022-08-28,6.1337,25.74,88.09,2.32,1.29
2022-08-29,5.7434,26.2,86.31,2.26,1.41
2022-08-30,4.6867,26.28,87.97,2.66,2.39
2022-08-31,5.9676,26.91,90.17,2.86,10.34
2022-09-01,5.1912,26.45,92.6,2.98,7.4
2022-09-02,6.3492,27.25,89.86,1.91,4.56
2022-09-03,6.156,27.71,88.27,2.41,7.92
2022-09-04,3.4154,26.81,91.41,2.33,7.41
2022-09-05,4.7866,26.52,89.75,2.62,9.92
2022-09-06,4.2742,26.48,89.04,2.22,11.6
2022-09-07,5.8219,26.59,89.75,3.02,7.64
2022-09-08,3.9511,27.61,87.4,2.01,77.44
2022-09-09,5.3645,28.05,87.22,2.04,10.26
2022-09-10,4.8538,27.36,88.48,1.69,10.35
2022-09-11,4.2523,26.92,91.65,3.71,23.75
2022-09-12,2.689,25.74,93.33,3.81,34.64
2022-09-13,2.0297,26.11,91.93,5.01,32.84
2022-09-14,4.5204,26.25,91.35,6.05,29.54
2022-09-15,2.5932,26.61,91.66,6.9,44.49
2022-09-16,0.7908,26.2,94.07,4.81,58.87
2022-09-17,4.9586,26.35,90.95,4.57,33.52
2022-09-18,2.7842,25.86,88.84,3.06,33.66
2022-09-19,2.4986,25.67,87.09,3.29,8.83
2022-09-20,3.0475,25.23,88.87,3.21,7.04
2022-09-21,1.8115,25.02,89.68,3.27,3.56
2022-09-22,2.5332,24.93,89.49,2.84,4.46
2022-09-23,5.5778,24.83,92.24,3.15,7.01
2022-09-24,6.0938,25.36,90.48,2.93,4.36
2022-09-25,5.1761,25.53,89.59,2.63,6.0
2022-09-26,3.7915,25.63,87.47,2.3,3.33
2022-09-27,3.5083,25.24,88.02,2.37,1.82
2022-09-28,4.6558,25.37,90.34,2.89,1.3
2022-09-29,3.6622,25.74,89.79,2.97,8.77
2022-09-30,5.3146,26.45,89.73,2.79,19.04
2022-10-01,5.0957,26.27,89.43,2.84,6.19
2022-10-02,5.915,25.69,88.86,2.59,2.45
2022-10-03,6.1274,25.6,86.64,2.65,0.22
2022-10-04,5.8471,26.0,87.88,2.86,1.27
2022-10-05,5.0388,26.39,87.09,3.27,1.03
