date,irradiance_kwh_m2,temperature_c,humidity_pct,wind_speed_ms,precipitation_mm
2022-07-20,3.0979,23.43,91.13,6.25,9.52
2022-07-21,3.467,23.24,91.88,5.46,8.5
2022-07-22,3.9708,23.04,92.02,4.99,6.07
2022-07-23,3.0235,23.29,92.97,6.3,17.64
2022-07-24,2.7322,23.33,91.95,6.58,16.73
2022-07-25,3.5431,23.08,91.24,5.57,11.58
2022-07-26,2.9556,23.33,90.46,4.2,4.9
2022-07-27,4.1419,23.92,88.82,2.51,12.17
2022-07-28,5.2553,23.89,89.59,2.29,19.51
2022-07-29,4.5115,24.4,90.32,1.89,4.42
2022-07-30,4.9433,24.08,91.48,2.93,3.3
2022-07-31,5.443,23.94,90.45,3.4,2.73
2022-08-01,4.8684,23.95,89.45,4.01,0.98
2022-08-02,4.2821,23.67,91.08,3.69,3.5
2022-08-03,4.5886,23.78,92.64,3.65,13.01
2022-08-04,4.3126,23.85,91.75,3.37,14.99
2022-08-05,3.5278,23.88,91.69,4.21,13.22
2022-08-06,3.5342,23.43,90.57,5.62,19.67
2022-08-07,3.0326,23.31,95.03,6.32,36.61
2022-08-08,2.3338,23.12,96.02,7.7,51.92
2022-08-09,2.0726,22.87,94.63,9.21,55.66
2022-08-10,2.1175,22.99,94.3,10.26,37.21
2022-08-11,3.1236,22.9,94.26,10.54,34.88
2022-08-12,2.7216,23.03,92.71,9.93,21.6
2022-08-13,3.5268,23.03,92.51,8.08,18.25
2022-08-14,3.1058,22.72,92.13,7.78,12.84
2022-08-15,2.4703,21.87,95.25,6.86,26.02
2022-08-16,1.8722,22.12,94.39,7.75,22.92
2022-08-17,3.3674,22.86,92.92,7.41,16.4
2022-08-18,3.3415,22.87,92.44,6.07,10.63
2022-08-19,3.1044,23.17,92.09,6.0,10.11
2022-08-20,2.9606,23.19,91.83,6.18,9.55
2022-08-21,3.1488,22.74,92.69,6.19,7.61
2022-08-22,3.2635,23.01,92.36,7.2,13.38
2022-08-23,3.2086,23.56,91.77,6.84,14.47
2022-08-24,2.9894,23.31,90.85,5.58,9.03
2022-08-25,4.0649,23.1,91.21,4.2,4.66
2022-08-26,4.8566,23.02,90.24,3.1,1.34
2022-08-27,5.4386,22.82,89.45,3.09,0.24
2022-08-28,4.9462,22.91,89.33,3.0,0.4
2022-08-29,4.9752,23.44,86.7,2.54,0.34
2022-08-30,3.9826,24.16,88.22,2.25,5.07
2022-08-31,5.0494,24.85,90.63,2.61,15.17
2022-09-01,5.5956,24.35,92.36,2.37,6.36
2022-09-02,5.3736,25.06,86.22,1.31,2.08
2022-09-03,5.3482,25.12,87.24,2.54,5.38
2022-09-04,3.6509,24.13,91.02,2.66,5.58
2022-09-05,4.793,23.93,91.41,2.85,5.57
2022-09-06,5.0254,23.98,88.84,2.1,10.69
2022-09-07,4.5998,24.16,90.37,1.85,13.17
2022-09-08,4.0944,24.34,88.74,1.5,47.46
2022-09-09,4.4551,24.32,90.0,2.46,9.34
2022-09-10,4.1803,24.36,89.5,0.94,7.54
2022-09-11,4.0723,24.26,91.92,2.95,23.9
2022-09-12,3.395,22.99,95.46,4.86,27.18
2022-09-13,1.6814,23.45,93.25,6.64,23.45
2022-09-14,2.9738,23.22,92.98,6.67,19.98
2022-09-15,3.36,23.52,93.5,7.89,32.29
2022-09-16,0.8887,23.05,95.59,6.78,39.53
2022-09-17,3.6746,23.36,92.53,5.1,21.65
2022-09-18,2.5222,22.68,91.79,3.93,18.1
2022-09-19,2.5286,21.86,91.04,3.82,7.98
2022-09-20,1.9769,21.58,92.8,3.63,6.85
2022-09-21,2.441,21.45,93.48,3.58,2.54
2022-09-22,3.114,21.18,92.71,3.44,2.35
2022-09-23,3.737,21.65,92.98,3.83,5.64
2022-09-24,4.6841,22.25,91.28,3.64,3.51
2022-09-25,4.4594,22.75,90.65,3.06,4.31
2022-09-26,4.1568,22.02,92.15,2.79,3.64
2022-09-27,3.9574,22.81,90.26,2.41,1.35
2022-09-28,3.0787,22.65,92.09,3.08,1.49
2022-09-29,3.671,22.93,91.9,2.92,9.11
2022-09-30,5.1262,23.95,89.48,2.36,15.29
2022-10-01,4.3075,23.7,91.2,2.96,9.24
2022-10-02,5.3407,22.91,90.24,2.8,5.55
2022-10-03,5.7132,22.67,89.59,2.87,0.57
2022-10-04,5.2903,23.29,88.07,2.73,1.83
2022-10-05,3.9905,23.25,89.67,3.22,1.75
2022-10-06,2.9225,21.82,90.21,3.01,9.27
2022-10-07,2.6261,22.63,94.12,5.36,30.66
2022-10-08,2.6388,22.68,92.5,4.87,8.37
2022-10-09,5.868,23.3,86.81,2.01,0.21
2022-10-10,3.9086,24.02,89.62,2.22,3.17
2022-10-11,3.2486,24.05,90.91,2.23,12.95
2022-10-12,3.228,23.32,95.15,1.75,13.42
2022-10-13,2.8265,22.88,90.07,3.44,7.38
2022-10-14,3.8556,23.11,91.15,3.21,34.28
2022-10-15,4.6867,23.0,87.66,4.05,4.76
2022-10-16,4.7942,22.58,85.38,3.98,0.91
2022-10-17,3.8568,24.35,89.94,2.55,24.58
2022-10-18,3.5354,22.97,94.15,1.88,24.22
2022-10-19,4.7664,23.62,88.64,1.46,4.18
2022-10-20,4.6298,23.51,88.15,2.33,4.27
2022-10-21,4.2403,23.41,91.54,2.5,12.67
2022-10-22,4.1873,21.71,85.48,4.02,0.11
2022-10-23,6.0559,19.49,78.91,4.23,0.0
2022-10-24,5.9755,20.11,72.74,2.54,0.0
2022-10-25,6.0108,20.36,69.13,1.97,0.0
2022-10-26,5.9148,19.61,76.26,2.87,0.0
2022-10-27,5.7658,19.58,77.22,3.19,0.0
