date,irradiance_kwh_m2,temperature_c,humidity_pct,wind_speed_ms,precipitation_mm
2022-07-06,3.0854,28.77,73.58,3.42,4.59
2022-07-07,3.155,28.59,73.43,4.71,1.75
2022-07-08,2.7,28.96,71.85,4.54,3.76
2022-07-09,3.4169,29.07,70.96,5.12,2.01
2022-07-10,3.2146,29.1,70.16,5.54,2.79
2022-07-11,2.8752,29.27,68.64,6.34,1.15
2022-07-12,4.4383,29.38,67.03,6.67,1.38
2022-07-13,3.905,29.21,67.36,7.17,2.29
2022-07-14,5.321,29.52,63.32,7.55,0.31
2022-07-15,4.885,29.92,64.32,5.91,0.09
2022-07-16,4.877,29.97,70.15,4.52,5.09
2022-07-17,3.4858,29.51,75.18,3.56,9.42
2022-07-18,3.4394,28.48,74.31,3.56,2.0
2022-07-19,6.5501,29.5,73.25,2.7,0.94
2022-07-20,6.2827,28.94,79.3,2.82,10.14
2022-07-21,5.8913,28.65,79.45,2.82,5.89
2022-07-22,3.0809,27.1,86.36,2.27,15.58
2022-07-23,5.7566,28.68,75.05,2.75,1.46
2022-07-24,5.0856,28.71,73.78,2.91,3.4
2022-07-25,6.2923,28.45,75.63,2.98,3.46
2022-07-26,3.4243,27.11,83.97,2.33,7.74
2022-07-27,6.648,27.76,80.18,2.17,0.2
2022-07-28,6.5417,28.1,78.64,1.68,0.75
2022-07-29,6.6516,28.49,77.08,1.71,0.73
2022-07-30,6.6386,29.21,75.32,3.01,1.37
2022-07-31,6.2333,28.87,78.92,3.03,4.17
2022-08-01,6.3756,29.2,77.4,2.09,8.36
2022-08-02,3.9948,29.35,74.09,2.28,6.98
2022-08-03,3.0775,27.64,80.85,1.96,14.47
2022-08-04,1.6481,27.68,79.7,2.92,6.52
2022-08-05,3.1056,28.33,78.14,5.16,3.08
2022-08-06,3.8844,27.99,79.09,5.16,1.04
2022-08-07,3.1363,28.1,77.96,5.71,0.62
2022-08-08,4.8578,28.31,76.48,6.45,0.33
2022-08-09,4.7114,28.67,72.24,6.67,0.02
2022-08-10,5.5642,28.89,69.3,6.52,0.0
2022-08-11,5.7564,29.22,69.98,5.41,0.02
2022-08-12,5.8596,29.83,69.58,4.36,0.02
2022-08-13,5.503,29.28,70.75,3.79,0.04
2022-08-14,3.828,29.8,65.72,3.67,0.02
2022-08-15,4.9202,29.36,70.5,3.0,2.09
2022-08-16,5.7629,28.55,79.44,3.51,8.22
2022-08-17,6.1106,27.3,85.51,3.85,8.62
2022-08-18,5.9232,28.0,79.58,3.17,4.21
2022-08-19,3.6077,27.74,78.77,3.54,4.58
2022-08-20,5.5498,29.32,72.62,3.62,1.33
2022-08-21,4.6476,29.3,73.23,4.09,9.65
2022-08-22,6.1663,29.01,77.63,4.42,10.86
2022-08-23,5.9458,29.32,74.8,3.45,21.98
2022-08-24,4.7986,27.76,79.67,3.3,9.93
2022-08-25,6.2026,28.38,78.55,2.49,9.94
2022-08-26,5.9165,27.11,84.17,2.33,12.99
2022-08-27,4.6848,27.81,80.77,2.84,12.65
2022-08-28,6.0029,28.01,81.4,2.4,8.91
2022-08-29,5.5298,27.93,81.98,1.57,9.02
2022-08-30,5.8968,28.09,80.06,2.02,1.29
2022-08-31,4.1422,27.45,79.65,1.37,10.69
2022-09-01,2.3191,27.5,77.82,1.21,12.54
2022-09-02,6.3518,27.39,81.54,1.9,2.58
2022-09-03,6.1735,28.13,80.48,2.1,0.26
2022-09-04,6.4075,28.06,84.68,2.4,1.19
2022-09-05,6.5635,28.31,83.29,2.62,0.73
2022-09-06,5.832,28.18,81.79,2.53,11.67
2022-09-07,2.7418,27.52,80.29,2.6,2.75
2022-09-08,1.2715,26.86,84.31,2.53,6.67
2022-09-09,4.1743,28.32,81.35,3.35,1.36
2022-09-10,2.6474,28.27,81.64,4.48,1.35
2022-09-11,3.7469,28.06,80.24,5.35,0.42
2022-09-12,5.9532,27.93,80.49,5.2,0.11
2022-09-13,6.3828,28.29,78.92,4.38,0.17
2022-09-14,6.0286,28.57,79.78,3.59,1.25
2022-09-15,2.7144,27.11,82.01,3.32,2.04
2022-09-16,6.3,28.16,78.55,2.76,1.29
